code_id	code	examples	explanation	json_code	font_color
person	pessoa	Marielle Franco, George Floyd...	Nomes de pessoas	PER	blue
source	fonte	Folha de São Paulo, O Globo...	Nomes de veículos	SRC	purple
educational	educação	PUC-SP, USP, Harvard...	Nomes de instituições de educação e pesquisa	EDU	orange
commercial	comercial	Nubank, iFood, Rappi...	Nomes de organizações comerciais	ORG	turq
gov	governamental	STF, IBGE, CGU...	Nomes de órgãos governamentais	GOV	pink
city	cidade	São Paulo, Rio de Janeiro, Fortaleza...	Nomes de cidades	CITY	red
country	país	Brasil, EUA, Argentina...	Nomes de países	CTRY	green
police	polícia	Polícia Civil, Polícia Militar, FBI...	Nomes de polícias	POL	brown
work	obra	Pequeno Manual Antirracista...	Nomes de obras literárias e musicais	WRK	grey
movement	movimento	Black Lives Matter, Panteras Negras, NAACP...	Nomes de movimentos	MOV	dark-green
text	texto	Jovem negro é morto	Texto livre para incrementar a busca	TXT	black
